name,date,county,county_state,city,city_state,state,race,denomination
San Lucas Mission,1914,Hillsborough,,Tampa,,Florida,White,Nondenominational
Mount Hope Baptist Church,1895,Madison,,Madison,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Shiloh Missionary Baptist Church,1938,Clay,,Green Cove Springs,,Florida,African-American,Baptist
Philadelphia Church,1888,Jefferson,,Monticello,,Florida,African-American,African Methodist Episcopal Church
Seventh Day Adventist Church,1924,Bay,,Panama City,,Florida,White,Adventist
Mount Pleasant Missionary Baptist Church,1905,Pasco,,Trilby,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Heavenly Church of the First Born,1940,Seminole,,Midway Community,,Florida,African-American,First Born Church of the Living God Inc.
Church of Jesus Christ of Latter Day Saints,1934,Escambia,,Pensacola,,Florida,White,Church of Jesus Christ of Latter Day Saints
Mt. Zion Church,1896,Gadsden,,Quincy,,Florida,African-American,Primitive Baptist
New Orange Baptist Church,1905,Washington,,Chipley,,Florida,White,Southern Baptist Convention
New Bethel African Methodist Episcopal Church,1901,Holmes,,Bonifay,,Florida,African-American,African Methodist Episcopal
Escambia County Tax Roll,1939,Escambia,,null,,Florida,null,null
"First Church of Christ, Scientist",1914,Volusia,,New Smyrna Beach,,Florida,White,"First Church of Christ, Scientist"
Fellowship Baptist Church,1894,Union,,Raiford,,Florida,White,Southern Baptist Convention
Truth Chapel,1926,Palm Beach,,West Palm Beach,,Florida,White,Non-Denominational
Faith Tabernacle Church,1936,Gadsden,,Quincy,,Florida,African-American,Church of God in Christ
First Christian Church,1913,Bay,,Lynn Haven,,Florida,White,United Church of Christ
Assembly of God Church,1930,Monroe,,Key West,,Florida,White,General Council of The Assemblies of God
The Church of God,1938,Orange,,Apopka,,Florida,White,Conventional Holiness
Mt. Zion African Methodist Episcopal Church,1882,Volusia,,Orange City,,Florida,African-American,African Methodist Episcopal
High Springs Presbyterian Church,1897,Alachua,,High Springs,,Florida,White,Presbyterian
Church Triumphant,1903,Lee,,Fort Myers,,Florida,White,"The Koreshan Unity, Inc."
Bethel Missionary,1865,Leon,,Tallahassee,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Trinity Presbyterian Church,1931,Monroe,,Key West,,Florida,African-American,Presbyterian Church
Macedonia Baptist Church of Russel,1905,Clay,,Russell,,Florida,African-American,Baptist
Mooretown Community Church,1913,Bay,,Bay Harbor,,Florida,White,Interdenominational
Bethel African Methodist Episcopal Church,1926,Highlands,,DeSoto,,Florida,African-American,African Methodist Episcopal
Union Church of Christ,1923,Levy,,Chiefland,,Florida,White,Churches of Christ
Clay Sink Missionary Baptist Church,1897,Pasco,,Clay Sink,,Florida,White,Missionary Baptist
Balden Chapel African Methodist Episcopal Church,1886,Duval,,Jacksonville,,Florida,African-American,Methodist
East Bay Church of God,1913,Bay,,Panama City,,Florida,White,Church of God
Church of God in Christ,1925,Hillsborough,,Tampa,,Florida,African-American,Church of God in Christ
Tabernacle Baptist Institutional Church,1893,Duval,,Jacksonville,,Florida,African-American,Baptist
Bethelem African Methodist Episcopal Church,1873,Santa Rosa,,Milton,,Florida,African-American,African Methodist Episcopal
New Mount Zion African Methodist Episcopal Church,1908,Lafayette,,Mayo,,Florida,African-American,African Methodist Episcopal Church
First Church of the Brethren,1925,Orange,,Winter Park,,Florida,White,Brethren
Sinai Church,1870,Gadsden,,Quincy,,Florida,African-American,African Methodist Episcopal
Hardeetown Baptist Church,1920,Levy,,Hardeetown,,Florida,White,Baptist
Cluster Springs Baptist Church,1845,Walton,,DeFuniak Springs,,Florida,White,Southern Baptist Convention
Bethel Methodist Episcopal Church,1832,St. Johns,,St. Augustine,,Florida,White,"Methodist Episcopal Church, South"
First Christian Church,1892,Polk,,Bartow,,Florida,White,Disciples of Christ
"The First Associate Reformed Presbyterian Church, Tampa",1908,Hillsborough,,Tampa,,Florida,White,Associate Reformed Presbyterian
Canaveral Baptist Church,1932,Brevard,,Canaveral,,Florida,White,Baptist
St. Luke's Slovak Evangelical Luther,1912,Seminole,,St. Oviedo,,Florida,White,Slovak Evangelical Lutheran Symod of USA
New Concord Assembly of God,1933,Bay,,Saint Andrew,,Florida,White,Pentecostal
Grace Church,1878,Duval,,Jacksonville,,Florida,White,Reformed Episcopal
Newberry Presbyterian Church,1912,Alachua,,Newberry,,Florida,White,Presbyterian
Mount Olive Church of Christ,1887,Suwannee,,Live Oak,,Florida,White,Churches of Christ
Saint Mark Baptist Church,1906,Dade,,Miami,,Florida,African-American,Baptist
First Baptist Church,1917,Hardee,,Limestone,,Florida,African-American,Baptist
Triumph Church,1938,Levy,,Gulf Hammock,,Florida,African-American,Church of God in Christ
Hampton Baptist Church,1899,Bradford,,Hampton,,Florida,White,Baptist
Grace Protestant Episcopal Church,1890,Brevard,,Merritt Island,,Florida,White,Episcopal
Mount Trial,1882,Wakulla,,Sopchoppy,,Florida,White,Primitive Baptist Church
Montverde Baptist Church,1841,Lake,,Montverde,,Florida,White,Southern Baptist Convention
Jacksonville First Church,1919,Duval,,Jacksonville,,Florida,White,Methodist
Salvation Army Corps,1936,Bay,,Panama City,,Florida,White,Salvation Army
Saint Mary Church,1874,Jackson,,Cottondale,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mount Moriah Baptist Church,1890,Levy,,Bronson,,Florida,African-American,Baptist
Lochbie Baptist Church,1882,Marion,,Orange Lake,,Florida,White,Southern Baptist Convention
"Lake Mystic Methodist Episcopal Church, South",1888,Liberty,,Lake Mystic,,Florida,White,"Methodist Episcopal Church, South"
Mingo Baptist Church,1904,Dixie,,Cross City,,Florida,White,Baptist
First Baptist Church,1934,Palm Beach,,South Bay,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Selma Methodist Church,1906,Holmes,,Graceville,,Florida,White,Methodist
"Lisbon Methodist Church, South",1884,Lake,,Lisbon,,Florida,White,"Methodist Episcopal Church, South"
"First Church of Christ, Scientist",1915,Marion,,Ocala,,Florida,White,"Church of Christ, Scientist"
Buckville Assembly of God Church,1936,Lafayette,,Mayo,,Florida,White,General Council of The Assemblies of God
Bethel Colored Methodist Episcopal Church,1924,Sarasota,,Sarasota,,Florida,African-American,African Methodist Episcopal
The Methodist Church,1903,Taylor,,Fenholloway,,Florida,White,The Methodist Church
Suwannee Baptist Church,1912,Gilchrist,,Bell,,Florida,African-American,Baptist
True Vine Missionary Baptist Church,1933,Duval,,Jacksonville,,Florida,African-American,Baptist
Greenwood Methodist Episcopal,1880,Marion,,Pine,,Florida,White,"Methodist Episcopal Church, South"
Saint Johns The Baptist,1910,Putnam,,Crescent City,,Florida,White,Roman Catholic
Christian and Missionary Alliance Church,1925,Lake,,Mineola,,Florida,White,Methodist Episcopalian
Church of Christ,1935,Bay,,Springfield,,Florida,White,Church of Christ
Saint Matthews Evangelistic Lutheran Church,1931,Alachua,,Gainesville,,Florida,White,Lutheran
Berean Church,1938,Hillsborough,,Tampa,,Florida,White,Independent
C.N. Williams Memorial Church,1940,Calhoun,,Blountstown,,Florida,White,Methodist
Church of God,1930,Volusia,,DeLand,,Florida,White,Church of God
New Mt. Maria Baptist Church,1903,Santa Rosa,,Milton,,Florida,African-American,National Baptist Convention of America Inc.
Polk County Tax Roll,1939,Polk,,null,,Florida,null,null
Roman Catholic Church of the Epiphany,unknown,Columbia,,Lake City,,Florida,White,Roman Catholic
Saint Augustine Primitive Baptist Church,1935,St. Johns,,St. Augustine,,Florida,White,"Primitive Baptist Convention of the United States of America, Inc."
Church of God,1918,St. Lucie,,Ft. Pierce,,Florida,African-American,Community Church
Church of Spiritual Science,1934,Hillsborough,,Tampa,,Florida,White,Spiritualist
West Union Baptist Church,1906,Duval,,Jacksonville,,Florida,African-American,Baptist
New Providence Baptist Church,1891,Seminole,,Orlando,,Florida,African-American,National Baptist Convention of America Inc.
Pierson Methodist Episcopal Church,1886,Volusia,,Pierson,,Florida,White,Methodist
First Pentecostal Church of Pensacola,1933,Escambia,,Pensacola,,Florida,White,Pentecostal
St. Peter's Protestant Episcopal Church,1888,Osceola,,Narcoossee,,Florida,White,Protestant Episcopal Church
New Bethel Baptist Church,1937,Dixie,,Fletcher,,Florida,African-American,Baptist
Bethel African Methodist Episcopal Church,1887,Columbia,,Lake City,,Florida,African-American,Methodist
Alachua County Incorporations,1939,Alachua,,null,,Florida,null,null
First Presbyterian Church,1909,Monroe,,Key West,,Florida,White,Presbyterian Church
Our Lady of Good Counsel,1907,St. Johns,,Bakersville,,Florida,White,Roman Catholic
Jacksonville Spiritualist Center,1933,Duval,,Jacksonville,,Florida,White,Spiritualist
Post Oak Church,1889,Jackson,,Bascom,,Florida,African-American,African Methodist Episcopal Church
Mount Willing Baptist Church,1903,Suwannee,,Lauraville,,Florida,African-American,Free Will Baptist Church
New Hope Baptist Church,1881,Levy,,Judson,,Florida,White,Baptist
Brewer Lake Missionary Baptist Church,1888,Lafayette,,Day,,Florida,White,Southern Baptist Convention
Carters Tabernagle Colored Methodist Episcopal Church,1905,Orange,,Orlando,,Florida,African-American,African Methodist Episcopal
Norwegian Seamen's Church,1877,Escambia,,Pensacola,,Florida,Norwegian,Norwegian and Danish Evangelical Free Church Association of Northern America
First Baptist Church,1885,Levy,,Bronson,,Florida,White,Baptist
Enterprise Missionary Baptist Church,1909,Volusia,,Enterprise,,Florida,White,Southern Baptist Convention
Traveler's Rest Free Will Baptist Church,1901,Calhoun,,Clarksville,,Florida,White,Baptist
Sulphur Springs Church of Christ,1935,Hillsborough,,Tampa,,Florida,White,Churches of Christ
First Baptist Church of Altoona,1884,Lake,,Altoona,,Florida,White,Southern Baptist Convention
Saint Augustine Protestant Episcopal Church,1892,Alachua,,Gainesville,,Florida,White,Episcopal
Mt. Olive African Methodist Episcopal Church,1927,Seminole,,Sanford,,Florida,African-American,African Methodist Episcopal
Shady Grove Baptist Church,1933,Suwannee,,Live Oak,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Walnut Hill Baptist Church,1920,Escambia,,Walnut Hill,,Florida,White,Southern Baptist Convention
Norwood Baptist Church,1934,Duval,,Jacksonville,,Florida,White,Baptist
Tabernacle of Love,1939,Orange,,Orlando,,Florida,White,Pentecostal
The Church of God,1927,Highlands,,Sebring,,Florida,White,Church of God
New Matadone Baptist Church,1930,Palm Beach,,Sand Cut,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Dade  County Incorporations,1939,Dade,,null,,Florida,null,null
Chiefland Methodist Church,1872,Levy,,Chiefland,,Florida,White,Methodist
Mount Sinai Missionary Baptist Church,1917,Dade,,Miami,,Florida,African-American,Baptist
Beulah Baptist Church,1872,Putnam,,Fruitland,,Florida,White,Southern Baptist Convention
Church of Christ of Sarasota,1924,Sarasota,,Sarasota,,Florida,White,Churches of Christ
Saint Augustine Primitive Baptist Church,1935,St. Johns,,St. Augustine,,Florida,White,Suwannee Association
First Baptist Church,1914,Martin,,Stuart,,Florida,White,Southern Baptist Convention
Grant Chapel African Methodist Episcopal Church,1870,Levy,,Cedar Key,,Florida,African-American,African Methodist Episcopal
First Baptist Church,1886,Volusia,,Seville,,Florida,White,Southern Baptist Convention
Shrine of Divine Healing,1940,Duval,,Jacksonville,,Florida,White,Nondenominational
Rock Mound Baptist Church,1918,Wakulla,,Arran,,Florida,African-American,National Baptist Convention of the United States of America Inc.
The Salvation Army,1928,Marion,,Ocala,,Florida,White,Non-Denominational
Church of the Nazarene,1935,Seminole,,Paola,,Florida,White,Church of the Nazarene
Saint Paul's African Methodist Episcopal Church,1908,Bay,,West Bay,,Florida,African-American,Methodist
Little Dunns Creek Methodist Church,1870,Duval,,Duval,,Florida,White,Methodist
Mt. Ararat Church,1892,Washington,,Chipley,,Florida,African-American,National Baptist Convention of America Inc.
Saint Andrews Episcopal Mission,1937,Broward,,Hollywood Liberia,,Florida,African-American,Episcopal
Church of Jesus Christ of Latter-Day Saints,1938,St. Lucie,,Ft. Pierce,,Florida,White,Church of Jesus Christ of Latter-Day Saints
Church of God in Christ,1939,Dixie,,Shamrock,,Florida,White,Church of God
First Baptist Church of Winnemissett,1891,Volusia,,Deland,,Florida,White,Southern Baptist Convention
St. Nicholas Christian Church,1920,Duval,,Jacksonville,,Florida,White,"Christian Church, Disciples of Christ"
First Methodist Episcopal Church,1874,Calhoun,,Altha,,Florida,White,Methodist
Mount Tabor Methodist Episcopal Church,1854,Columbia,,Lake City,,Florida,White,Methodist
Monticello Baptist Church,1841,Jefferson,,Monticello,,Florida,White,Southern Baptist Convention
Little River Baptist Church,1900,Suwannee,,O'Brien,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Methodist Church of Newberry,1911,Alachua,,Newberry,,Florida,White,Methodist
"Tampa Heights Methodist Episcopal Church, South",1899,Hillsborough,,Tampa,,Florida,White,Methodist Episcopal
Orlando First Christian Church,1920,Orange,,Orlando,,Florida,White,Christian and Missionary Alliance
Saint Paul's Baptist Church,1878,Marion,,Ocala,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mount Olive Missionary Baptist Church,1906,Palm Beach,,Delray Beach,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Presbyterian Church,1891,Lake,,Astor,,Florida,White,Presbyterian Church
Saint Paul Baptist Church,1907,Marion,,Ocala,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Refuge Baptist Church,1907,Santa Rosa,,Milton,,Florida,White,Southern Baptist Convention
De Leon Springs Baptist Church,1921,Volusia,,DeLeon Springs,,Florida,White,Southern Baptist Convention
Mount Zion Baptist Church,1880,Escambia,,Pensacola,,Florida,African-American,National Baptist Convention of the United States of America Inc.
The Church of God,1921,Lafayette,,Mayo,,Florida,White,Church of God
Hurst Chapel African Methodist Episcopal Church,1932,Duval,,Lem Turner,,Florida,African-American,Methodist
Friendship Baptist Church,1930,Escambia,,Pensacola,,Florida,African-American,National Primitive Baptist Convention of the United States of America Inc.
The Triumph Church,1933,Dixie,,Cross City,,Florida,African-American,Church of God
Coral Gables First Methodist Church,1926,Dade,,Coral Gables,,Florida,White,Methodist
Mount Sinai Baptist Church,1875,Suwannee,,Pinemount,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Mt. Carmel Baptist Church,1915,Orange,,Tangerine,,Florida,African-American,National Baptist Convention of America Inc.
Little Chapel Methodist Episcopal Church,1889,Marion,,Santos,,Florida,White,African Methodist Episcopal Church
New Bethel Methodist Church,1910,Putnam,,Interlachen,,Florida,African-American,African Methodist Episcopal Church
First Unity Church,1924,Pinellas,,St. Petersburg,,Florida,White,Church of God in Unity
Saint Mary's Baptist Church,1914,Leon,,Tallahassee,,Florida,African-American,"Primitive Baptist Convention of the United States of America, Inc."
"Lake Placid Methodist Episcopal Church, South",1922,Highlands,,Lake Placid,,Florida,White,Methodist Episcopal
Tabernacle Missionary Baptist Church,1939,Hillsborough,,Tampa,,Florida,White,Baptist
First Presbyterian Church,1867,Alachua,,Gainesville,,Florida,White,Presbyterian
Antioch Church,1909,Jackson,,Altha,,Florida,White,Southern Baptist Convention
First Methodist Church,1846,Hillsborough,,Tampa,,Florida,White,Methodist Episcopal
Beechville Second Advent Christian Church,1896,Suwannee,,Branford,,Florida,White,Advent Christian Church
New Zion Methodist Church,1885,Leon,,Tallahassee,,Florida,African-American,African Methodist Episcopal Church
Pleasant Grove Methodist Church,1869,Columbia,,Columbia City,,Florida,White,Methodist
Saint James Baptist Church,1898,St. Johns,,St. Augustine,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Fairbanks Baptist Church,1932,Alachua,,Fairbanks,,Florida,White,Baptist
The Church of God,1906,St. Johns,,St. Augustine,,Florida,African-American,Church of God
New Hope Primitive Baptist Church,1926,Brevard,,Titusville,,Florida,African-American,Baptist
San Blas Community Church,WPA Church Records,White,,null,,Florida,Interdenominational,San Blas
Damascus Baptist Church,1865,Jackson,,Graceville,,Florida,White,Southern Baptist Convention
St. Luke Baptist Church,1919,Hillsborough,,Plant City,,Florida,African-American,Baptist
Central Metropolitan Colored Methodist Episcopal Church,1905,Duval,,Jacksonville,,Florida,African-American,Methodist
Church of God in Christ,1931,Marion,,Ft. McCoy,,Florida,African-American,Church of God in Christ
Church of Christ,1935,Putnam,,Palatka,,Florida,White,Church of Christ
Church of Christ,1900,Hillsborough,,Plant City,,Florida,White,Churches of Christ
First Baptist Church of Oakland,1872,Duval,,Jacksonville,,Florida,African-American,Baptist
First Baptist Church,1902,Sarasota,,Sarasota,,Florida,White,Southern Baptist Convention
Bryceville Methodist Church,1883,Nassau,,Bryceville,,Florida,White,Southern Methodist Church
Christian Church,1932,Santa Rosa,,Munson,,Florida,White,Churches of Christ
Mt. Olive Church,1921,Gadsden,,Quincy,,Florida,African-American,Baptist
Scott's Memorial Methodist Episcopal Church,1889,Marion,,Lowell,,Florida,White,Christian Methodist Episcopal Church
West End Baptist Church,1913,Duval,,Jacksonville,,Florida,White,Baptist
Saint James Baptist Church,1880,Escambia,,Olive,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Lutheran Church,1939,Marion,,Lowell,,Florida,White,Lutheran Church of America
The Williston Presbyterian Church,1923,Levy,,Williston,,Florida,White,Presbyterian
Church of God,1920,Palm Beach,,West Palm Beach,,Florida,African-American,Church of God
Pine Grove Baptist Church,1908,Santa Rosa,,Jay,,Florida,White,Southern Baptist Convention
Saint Abrose Church,1874,St. Johns,,Elkton,,Florida,White,Roman Catholic
Saint Paul's Crane Hall,1924,Alachua,,Gainesville,,Florida,White,Roman Catholic
Mount Calvary Missionary Baptist Church,1900,Pasco,,Lumbuton,,Florida,African-American,National Baptist Convention of the United States of America Inc.
North Jacksonville Methodist Episcopal Mission,1932,Duval,,Jacksonville,,Florida,White,Methodist
Miami Beach Baptist Church,1927,Dade,,Miami Beach,,Florida,White,Baptist
The Church of God,1919,Palm Beach,,Riviera,,Florida,White,Church of God
Red Oak Methodist Church,1900,Calhoun,,Altha,,Florida,White,Methodist
Church of God in Christ,1935,Calhoun,,Blountstown,,Florida,African-American,Church of God
"Reeves Memorial Methodist Episcopal Church, South",1921,Orange,,Orlando,,Florida,White,"Methodist Episcopal Church, South"
Wesley Memorial Methodist Church,1900,Duval,,Jacksonville,,Florida,White,Methodist
Saint Luke's Baptist Church,1913,Bay,,Saint Andrew,,Florida,African-American,Baptist
First Baptist Church of Hollywood,1926,Broward,,Hollywood,,Florida,White,Baptist
Deer Pen Baptist Church,1875,Levy,,Bronson,,Florida,White,Baptist
Bethlehem Baptist Church,1872,Volusia,,Osteen,,Florida,White,Southern Baptist Convention
Lithia Holiness Church,1922,Hillsborough,,Lithia,,Florida,White,Holiness
"Longwood Methodist Church, South",1885,Seminole,,Longwood,,Florida,White,"Methodist Episcopal Church, South"
Central Christian Church,1919,Manatee,,Bradenton,,Florida,White,Disciples of Christ
Mount Moriah Baptist Church,1936,Columbia,,Lake City,,Florida,African-American,Baptist
New Union Church,1917,Jackson,,Marianna,,Florida,White,Free Will Baptist
Antioach Baptist Church,1933,Nassau,,Callahan,,Florida,African-American,National Baptist Convention of the United States of America Inc.
"Millville Methodist Church, South",1903,Bay,,Millville,,Florida,White,Methodist
Church of God,1940,Broward,,Dania,,Florida,African-American,Church of God
Saint Pauls Missionary Baptist Church,1908,Alachua,,La Crosse,,Florida,White,Baptist
Antioch Baptist Church,1851,Suwannee,,Live Oak,,Florida,African-American,National Baptist Convention of the United States of America Inc.
The Little River Baptist Church,1922,Dade,,Miami,,Florida,White,Baptist
"First Methodist Episcopal Church, South",1845,St. Johns,,St. Augustine,,Florida,White,"Methodist Episcopal Church, South"
Pine Level Baptist Church,1909,Suwannee,,Dowling Park,,Florida,White,Free Will Baptist Church
Peace Creek Baptist Church,1854,Polk,,Bartow,,Florida,White,Southern Baptist Convention
Bethel African Methodist Episcopal Zion Church,1893,Alachua,,Gainesville,,Florida,African-American,Methodist
Pleasant Hill Baptist Church,1901,Union,,Miller,,Florida,White,Southern Baptist Convention
"Methodist Episcopal Church, South",1842,Alachua,,Micanopy,,Florida,White,Methodist
Beth Jacob Congregation,1927,Dade,,Miami Beach,,Florida,White,Orthodox Union
Seventh Day Adventist Church #2,1913,Seminole,,Sanford,,Florida,African-American,Seventh-day Adventist Church
Oak Grove Methodist Church,1923,Washington,,Vernon,,Florida,White,Methodist
Church of Christ,1924,Pinellas,,St. Petersburg,,Florida,White,Churches of Christ
Mt. Zion African Methodist Episcopal Church,1914,Highlands,,Sebring,,Florida,African-American,African Methodist Episcopal
Springhill Baptist Church,1923,Escambia,,Pensacola,,Florida,African-American,National Baptist Convention of the United States of America Inc.
New Mount Olive African Methodist Episcopal Church,1906,Suwannee,,Live Oak,,Florida,African-American,African Methodist Episcopal Church
Saint Andrew's Episcopal Church,1920,Lee,,Boca Grande,,Florida,White,Protestant Episcopal Church
Beulah Baptist Church,1897,Suwannee,,Dowling Park,,Florida,White,Southern Baptist Convention
Church of Christ,1935,St. Johns,,St. Augustine,,Florida,African-American,Churches of Christ
Gospel Hall Sunday School,1904,Duval,,Jacksonville,,Florida,White,Independent
Terra Ceia Methodist Church,1889,Manatee,,Terra Ceia,,Florida,White,"Methodist Episcopal Church, South"
Zion Hope Baptist Church,1928,Duval,,Jacksonville,,Florida,African-American,Baptist
Ariel Methodist Epispocal Church,1925,Volusia,,Ariel,,Florida,White,"Methodist Episcopal Church, South"
Riverside Park Church of Christ,1911,Duval,,Jacksonville,,Florida,White,Churches of Christ
Suwannee Valley Methodist Church,1938,Columbia,,Suwannee Valley,,Florida,White,Methodist
Trinity Methodist Episcopal Church,1922,Hillsborough,,Tampa,,Florida,White,Methodist Episcopal
Bethlehem Baptist Church,1872,Marion,,Emathla,,Florida,White,Southern Baptist Convention
The Theosophical Society in Miami,1919,Dade,,Miami,,Florida,White,Theosophy
Saint Mathews Baptist Church,1877,Alachua,,Alachua,,Florida,White,Baptist
Jethro Baptist Church,1880,Putnam,,Crescent City,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Fountain Head African Methodist Episcopal Church,1902,Gadsden,,Mt. Pleasant,,Florida,African-American,African Methodist Episcopal
First Baptist Church of Archer,1920,Alachua,,Archer,,Florida,White,Baptist
Shiloh African Methodist Episcopal Church,1934,Brevard,,Shiloh,,Florida,African-American,Methodist
Melbourne Beach Community Church,1889,Brevard,,Melbourne,,Florida,White,Nondenominational
First Baptist Church of Brandon,1915,Hillsborough,,Brandon,,Florida,White,Baptist
St. John Church,1893,Gadsden,,Concord,,Florida,African-American,African Methodist Episcopal
Saint Edward's Catholic Church,1927,Palm Beach,,West Palm Beach,,Florida,White,Roman Catholic
Mundy's Chapel,1866,Nassau,,Yulee,,Florida,White,"Methodist Episcopal Church, South"
St. John Baptist Church,1914,Seminole,,Altamonte Springs,,Florida,African-American,National Baptist Convention of America Inc.
Mount Tabor Baptist Church,1880,Putnam,,San Mateo,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Second Advent Christian Church,1910,Brevard,,Eau Gallie,,Florida,White,Christian Church
Wolff Settlement Methodist Episcopal Church,1896,Hillsborough,,Tampa,,Florida,White,Methodist Episcopal
First Christian Church of Starke,1882,Bradford,,Starke,,Florida,White,Christian Church
Mount Zion Missionary Baptist Church,1867,Columbia,,Lake City,,Florida,White,Baptist
Flagler County Tax Roll,1939,Flagler,,null,,Florida,null,null
First Baptist Church,1888,Brevard,,Eau Gallie,,Florida,White,Baptist
Grace Methodist Episcopal Church,1889,Bradford,,Lawtey,,Florida,White,Methodist
The Church of Christ,1931,Manatee,,Manatee,,Florida,African-American,Churches of Christ
Saint John African Methodist Episcopal Church,1922,Dade,,South Miami,,Florida,African-American,Methodist
Paloma Presbyterian Church,1922,Columbia,,Lake City,,Florida,White,Presbyterian
St. Johns Protestant Episcopal Church,1896,Orange,,Orlando,,Florida,African-American,Episcopal
Mt. Ararat Baptist Church,1918,Duval,,Jacksonville,,Florida,African-American,Baptist
First Baptist Church,1916,Seminole,,Chuluota,,Florida,African-American,National Baptist Convention of America Inc.
Sardis Primitive Baptist Church,1932,Pinellas,,St. Petersburg,,Florida,African-American,Mount Enon Primitive Baptist Church
Southside Baptist Church,1938,Seminole,,Ginderville,,Florida,White,Southern Baptist Convention
Pleasant Grove Church,1891,Jefferson,,Monticello,,Florida,African-American,National Baptist Convention of the United States of America Inc.
"Richland Methodist Episcopal Church, South",1893,Pasco,,Richland,,Florida,White,"Methodist Episcopal Church, South"
Holy Rosary Catholic Church,1915,Duval,,Jacksonville,,Florida,White,Roman Catholic
Marsh Bend Baptist Church,1916,Sumter,,Panasoffkee,,Florida,White,Southern Baptist Convention
Howard Avenue Church of Christ,1927,Hillsborough,,Tampa,,Florida,White,Churches of Christ
Saint Paul Methodist Episcopal Church,1905,Brevard,,Eau Gallie,,Florida,African-American,Methodist
Saint Mary's Baptist Church,1872,Marion,,Silver Springs,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Sardis Baptist Church,1879,Union,,Worthington,,Florida,White,Southern Baptist Convention
Trinity Methodist Church,1882,Volusia,,DeLand,,Florida,White,"Methodist Episcopal Church, South"
Nazarene Gospel Mission,1940,Hillsborough,,Tampa,,Florida,White,Church of the Nazarene
New Hope Missionary Baptist Church,1933,Volusia,,New Smyrna,,Florida,African-American,National Baptist Convention of America Inc.
Gillet Methodist Mission,1870,Manatee,,Palmetto,,Florida,White,"Methodist Episcopal Church, South"
A.M.E. Zion Church,1916,Seminole,,Sanford,,Florida,African-American,African Methodist Episcopal
Suwannee Valley Church of God by Faith,1914,Columbia,,Suwannee Valley,,Florida,White,Church of God
Pine Grove Methodist Episcopal Church,1821,Suwannee,,Wellborn,,Florida,White,The Methodist Church
Pleasant Grove Baptist Church,1929,Santa Rosa,,Milton,,Florida,White,American Baptist Assembly
Hasty Pond Church,1917,Jackson,,Altha,,Florida,White,Southern Baptist Convention
Craig Swamp Methodist Church,1835,Duval,,Jacksonville,,Florida,White,Methodist
First Baptist Church of Dunedia,1912,Pinellas,,Dunedia,,Florida,White,Southern Baptist Convention
Shiloh Missionary Baptist Church,1926,Polk,,Mulberry,,Florida,African-American,National Baptist Convention of the United States of America Inc.
Allapattah Baptist Church,1924,Dade,,Miami,,Florida,White,Baptist
Mt. Moriah Progressive Missionary Baptist Church,1908,Hillsborough,,Plant City,,Florida,African-American,Baptist
Philadelphia Baptist Church of Waldo,1858,Alachua,,Waldo,,Florida,White,Baptist
Blessed Sacrament Catholic Church,1877,Leon,,Tallahassee,,Florida,White,Roman Catholic
Dry Prairie Baptist Church,1888,Manatee,,Fort Green,,Florida,White,Southern Baptist Convention
Mount Pilgrim Baptist Church,1870,Levy,,Cedar Key,,Florida,African-American,Baptist
Providence Baptist Church,1917,Seminole,,Lake Monroe,,Florida,African-American,National Baptist Convention of America Inc.
Harmony Baptist Church,1877,Marion,,Electra,,Florida,White,Southern Baptist Convention
Presbyterian Church of Destin,1938,Okaloosa,,Destin,,Florida,White,Presbyterian
Saint James Missionary Baptist,1925,Leon,,Tallahassee,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Baptist Church,1931,Nassau,,Yulee,,Florida,African-American,National Baptist Convention of the United States of America Inc.
First Presbyterian Church,1869,Lake,,Leesburg,,Florida,White,Presbyterian Church of the United States
Shady Grove Baptist Church,1936,Hendry,,Felda,,Florida,African-American,Baptist
"Lake Howell M.E. Church, South",1875,Seminole,,Maitland,,Florida,White,"Methodist Episcopal Church, South"
Pleasant Grove Primitive Baptist Church,1887,Duval,,Jacksonville,,Florida,African-American,Baptist
Four Square Tabernacle,1929,Duval,,Jacksonville,,Florida,White,Pilgrim Holiness
Saint Paul's African Methodist Episcopal Church,1900,Palm Beach,,Boynton,,Florida,African-American,African Methodist Episcopal Church
Orange County Corporation Mortgages,1939,Orange,,null,,Florida,null,null
Shiloh Methodist Episcopal Church,1891,Duval,,Hogan,,Florida,African-American,Methodist
